id,text

0,النزاهــــــــــــــــة

1,برافو

2,والله انك رايعه خديجة بن قنه احبك ب الله

3,hhhhh jame

4,منافقة

5,احب القناعة التي يمتلكها امثالها

6,عندما يلج الجمل  في سم الخياط

7,لقد هرمنا و كرهنا

8,ستستقل الشعوب العربية حين تكف عن البحلقة في وجوه الفقراء من وراء زجاج أسود..

9,نهار اللي ينور الثوم

10,Ki yrouho ylakou azrail

11, الرؤساء عرب ههههههه اغبياء

12,حتى تموت

13,متى يعلنون وفات العرب

14,عندها كرامه

15,"انها بلاد الديمقراطيه 
حكام العرب حتي يموتون علي كراسي الحكم 
انظر الي الحمار الذي يحكم سوريا غصبا"

16,....Never!!!

17,والمسعولون العرب من كثرة التواضع لا تطأ أقدامهم أبدا الأرض...من الطائرة الأمريكية مباشرة إلى السيارة الألمانية أو اليابانية...

18,استحالة يا سيدتي

19,اسيدي استقيلو يا وزرائنا و ادهبو باللموزين اد اردتم ارحلو فقط

20,الشعب العربي دمروه الخونة وبعض الحكام والبعض من اعلام الفتنة والعار.والحديث قياس

21,Ha erjal

22,قمة التحضر

23,عندما يموت يستقيل من غير هادا لا يوجد امل في دهابه

24,لو ظل يتداول على  قيادتنا مثل الذين هم الآن  يتنصبون علينا قادة فسوف نستقل إن شاء الله عندما تلد البغلة ذكرا و تحلب الناقة من أسنانها لبنا و يرعى الذئب قطيع الغنم.

25,امراء خليج الحمير لايستقيلون الا عندما يموتون

26,الشعوب مستقيلة اخت خديجة ...مدام لي في السلطة فسدة وووويكفي لا اريد ان تكلم لكي لا اتعب نفسي

27,لن يستقيلوا الاعندما ينهب الاخضر واليابس

28,الجهـل والغباء  والفساد يجري في دم العرب منذ الولاده   فلن يستقلو ولن يكونو احرارا

29,من يحكموننا لا يستطيعون حتى المشي من السمنة

30,دايرين كي الخرا كامل اللي عايش بالضرورة عندو منصب واللي معندوش منصب وعندو المال يخرج يعيش فالخارج كحالتك انت وزملائك واللي معنو والو راهو يعوم فالخرا كي حالتنا

31,يا سلام نموذج جميل

32,موقف امرأة عظيمة تفضل المبادئ على المنصب.... اللّٰه يكثر من امثلها ....

33,صدروا لنا العقول الغبيه والاعلام الماسوني وهم يتعاملوا بالاسلام والبساطه

34,"عجز الكلام عن الوصف والتعبير 
لكي مليون تحيه"

35,بما انو انا جزائري  البرويطة كريفات والله ماهو متحرك حتى الموت مابغاش ايموت

36,أنها ترجع إلى حياتها العادية من جديد بدون ضغوطات.... الشعوب العربية لا تقبل الاستقالة هي تدمر الحجر والورق و تحرق

37,"نفس الحيوانات اللي عنا بيستقلوا طائراتهم الخاصه ،،
جعل الله مايكتنزون وقودا عليهم في نار جهنم"

38,متى يستقيل ؟؟ حتى يلج الجمل في سم الخياط ....ههههههه

39,الانضمة العربية الفاسدة بعيدة كل البعد عن هذه التقاليد ببساطة لأنها سرقت أموالا الشعب

40,لما تشوفي حلقه ودنك ياخديجه

41,تيطلع الحمار على الميذنه

42,علابالي بيك تمعني على رئيسنا الحبيب اخو السعيد الي يبان من عيد لعيد

43,حين يوجد العدل...ويحترم الشخص نفسه...ولاخرين..نستطيع ان نرسم بداية لواقع يكون مستقبله مشرق...يا ريت نقلدهم ف هاكدا امور...احنا مقلدينهم مقلدينهم...سلام

44,"الحياة بسيطة جدا....لاتحتاج التكالب علي السلطة..والمؤامرات...والخيانة ..وسحق الاخر وتعويقة
يظهر الواحد بيكلم نفسه في مجتمعاتنا اللي بتموت في حكم الاب..الزعيم الخالد"

45,"امرأة تعلم الرجال معنى الرجولة..
وتعلم الحكام معنى التواضع..
وتعلم أصحاب المناصب معنى المصداقية.."

46,وين وين العرب من هذا

47,عند شروق الشمس من مغربها

48,للأسف ... لا نملك دراجات

49,موقف شجاع،،،،،

50,نهار تستقلي نتي من الجزيرة ويستقيلو الملوك الي راكي تدوري في فلكهم ..

51,ياختي الجزاير ضاعت من بكري يحكمو فينا الحركا

52,كل الاحترام

53,عندما يستقيل معتوه قطر و امه الموزة .....وتستقيلين انت

54,يا ست خديجة يا غالية المشكلة مش وسيلة المواصلات المشكلة اذا بفكرووووووو يستقيلو

55,امرأة بالف رجل..... والله خروجها خروج المنتصر...

56,Top

57,عندما تستطيعي علاج بيتك الكبير وعلاج بيتك الصغير انت فاهمة أن اللة حليم ستار

58,عندما يتقنون ركوب الدراجه العاديه

59,Woman with Dignity nd Human heart������✊☝☝☝

60,هي الصح

61,تعليق خديجة تنشر الفتن

62,الفرق شاسع هم اقرب للإسلام وما عندنا  في مركز النفاق

63,هذا هو الشرف

64,"يجب على الشعوب العربية الاستقالة  أولاً .?
استقالتهم من الرشاوي
استقالتهم من الكذب.
استقالتهم من الغش
استقالتهم من الخداع
استقالتهم من النفاق 
استقالتهم من فعل المحرمات 
ووووووو...........الخ"

65,لا لا لاصعب  الكلام عن الاستقاله

66,Makhaletelna man9oulou ....

67,عندما تستحق الشعوب ذلك

68,وزيره بكل معنى الكلمة

69,ديموقراطية

70,لو   على  جثث    شعوبهم  المتراكمة لن يستقيلوا

71,ههههه تاعنا يموتو فالكرسي كما الرايس تاعنا حتى يجيه عزاءيل وهو لاسق

72,هي تؤمن بالدمقراطية و حقوق الإنسان لهذا إستقالت لما أحست بسحب البساط من تحت قدميها و  بقائها يجعلها تدوس على مبادئ كبرت معها و كان لها حلم تحقيق العدالة لكل المواطنين بغض النظر عن أصوله و ثقافته و دينه ط

73,عندما تستقيلي انتي ومجدالقاسم من الجزيره

74,والله ياخديجة لم يفعلها عربي سوى شكري القوتلي فيما مضى ..أما في حاضر الايام فلا يفعلونها باتوا يورثونها لابنائهم قبل أن يقيلهم الموت

75,بعد اما يعدم شعبه الاول

76,كل الاحترام

77,ماهو قلتوا عليهم استعمار وكفار ويبو يحتلونا وطامعين فينا.. .

78,لكي كل الاحترام

79,عند العرب ما بيستقيل الا عندما يأتيه ملك الموت او على بضعة الاف من الجثث

80,ليت مسؤولينا يستقيلوا ... وليذهبوا ... يا سيدي ليس شرطا ان تستقلوا  دراجة  هوائية ... فلتستقلوا ليموزين ... فقط اذهبوا ... ودون عودة

81,ألف تحية وتقدير لها وكل الشرفاء

82,تحية رائعة لكي يا سيدتي.

83,هؤلاء شعوب تستحق أن تعيش

84,"Jamais
 يا سيدة خديجة"

85,احنا يموت وما يستقيل

86,أجل قمة التواضع ؟؟؟؟؟؟ يحتلون الدول الضعيفة ويزرعون الفتن في جميع الدول العربية وخاصة دول شمال إفريقيا يا إلهي ماذا حصل للعالم  -_-

87,اتها القناعة

88,قريبا على الجزيرة الوثائقية تحرير الشعوب العربية وتقوم العدالة 2050������

89,هذه امرأة من حديد

90,"يا خديجة الاحرى ان تسالي متى يستقيل امير قطر ،متي يستقيل ملك السعودية،متى يستقيل حكام الخليج
الذين عاثوا في الارض فسادا
كوني لمرة واحده شجاعة و قوليها"

91,ما في استقاله يا موت يا ثوره

92,ستستقييل الشعوووب وتأخذ حرياتها عندما يباد طغااة العرب والعجم وعلى رأسهم حكاااام دول الخليييج واسياااادهم الصهاااينه والأمريكااان ....وانه لقريييب وقرييب جدا .باذن الله ...

93,ليس مثل وزير العدل المصري الارهابي الذي يطالب بالمزيد من القتل حيث هانت عليه دماء ابناء بلده ويقولون محاربة الارهاب وهم من يدعون اليه اين نحن منهم.!!!!!!!!!

94,عندما ينقضي عمرهم

95,لا يوجد حاكم عربي لم يركب حمير....البيسكلا قيدتها صعبة عليهم....لذا في غياب الحمير لا تنتظر استقالات

96,Chapeau bas  Mme la ministre tout mes respects

97,ﻻن الرئاسة والوزارة هي وظيفة لها هدف خدمة المواطن والوطن ........ليس لسرقة الوطن والمواطن.......

98,المسؤول في بلاد الغرب موظف اما عند العرب فهو .......

99,ربما تسقيل الشعوب ولايستقلون. !!!!!؟

100,هيهات

101,ميت ويرفض الاستقالة لكي لا تستقل الجزائر

102,قولي ولا تخافي متى يستقيلون وزراءنا الأميين ويتركون مناصبهم للوطنيين المثقفين

103,Tu es vraiment un exemple a suivre une bavoure hors du commun il faut davoire dire non quand il le faut la france d aujourd hui es meconaissable

104,سؤال برئ اختاة هل عندنا يمتلكون دراجة بينهبون ملايين وقصور وسيارات وطيارات وخلافه يتركون متاع الدنيا ويرحلون

105,هاذ شعب يعرف الاصول

106,وزيرة العدل......الحرة

107,تحيه واحترام

108,السياسي الحقيقي لا يتمسك بمنصبه إن كان يعارض معتقدته. العرب غير ذالك من الكرسي إلى النعاش

109,مدام المحكوم يعبد الحاكم خاصة في دولنا العربية ، والاسلاميه على وجه الخصوص سيعم؛ الطغيان و الجهل  والظلم .

110,حسبنا الله ونعم الوكيل ثقافة شعب جوع فقر مرض الثلاثة يقتلون اى شعب

111,Une grande dame

112,احكو للزند الحيوان وزير العدل المصري

113,بتعملى شهره ولادعايه لمار كت دراجات

114,راهم ايمثلو برك وزيرة العدل الفرنسية ملت من العنصرية من طرف الفرنسيين فقدمت الاستقالة

115,هي إستقلت دراجتها وكسبت إحترام شعبها..وهو لا يسقيل حتى يُحمل على اللحد ولعنة شعبه تلاحقه إلى يوم الدين

116,والله اريح من القيل والقال

117,عنا المسؤول يستقيل ويركب طائرته الخاصة التي اشتراها من سرقة مال الشعب

118,شفت والله

119,ذمه ماليه نظيفه

120,Une vrai ministre

121,عندما نري ونسمع ما يحدث في العالم حولنا نكتشف اننا نعيش في كوكب مجهول لم يكتشف بعد اتمني ان يكتشف هذا الكوكب الملعون الذي به اناس يقال لهم زعماء وقادة يتزعمون كائنات يقال لهم بشر ويهتف هؤلاء البشر لمن يقال لهم قادة وهم من اخرجوهم من المجرة التي تحوي الارض ليضعونهم في الثقب الاسود وهم ما زالوا يتغنون بهؤلاء القادة وياامة ضحكت من جهلها الامم

122,قمة التواضع   ليس مثل الوطن العربي

123,عندنا رايس ما خرج بدراجة مخرج بلكروسة   ضاهرة من الكرسي لصندوڨ لجبانة .....   وللأسف لسؤال يومها ما ينفع دراجة ماينفع كروسة ماتنفع طيارة ينفع الصح??????

124,الحر يستقيل اما البتي فلا

125,بس يبيض الديك

126,"العرب لا يستقبلون حتى في فرنسا
سابقا كانت وزيرة العدل في فرنسا رشيدة داتي و رغم الفضائح و شقيقها. تاجر مخدرات فلم تستقل"

127,وييييل للعرب من شر قد اقترب ....وعلى البااااغي تدووووور الداااائره...

