,text,Position,Api_type,latitude,long
0,النزاهــــــــــــــــة,18,2,6.702828281722526,34.38559751480468
1,برافو,21,0,7.666844345839834,36.65278053829108
2,والله انك رايعه خديجة بن قنه احبك ب الله,42,2,10.240145291185229,22.51814563931046
3,hhhhh jame,41,0,8.293363324891406,35.95702917204703
4,منافقة,29,1,6.464568144433571,36.575780387086205
5,احب القناعة التي يمتلكها امثالها,10,2,3.226333917671398,36.66967342860644
6,عندما يلج الجمل  في سم الخياط,46,2,1.708968974245769,35.91695766478735
7,لقد هرمنا و كرهنا,32,2,-0.112966509361134,35.78810026889347
8,ستستقل الشعوب العربية حين تكف عن البحلقة في وجوه الفقراء من وراء زجاج أسود..,13,1,4.034406206710907,36.90028102430675
9,نهار اللي ينور الثوم,24,2,7.547942933757053,35.42745670355636
10,Ki yrouho ylakou azrail,29,2,6.464568144433571,36.575780387086205
11, الرؤساء عرب ههههههه اغبياء,3,2,2.041892928077553,28.8981581677144
12,حتى تموت,22,0,10.240145291185229,22.51814563931046
13,متى يعلنون وفات العرب,20,1,4.480743815144727,32.99016620317347
14,عندها كرامه,47,2,4.585011207278857,36.883388133991396
15,"انها بلاد الديمقراطيه 
حكام العرب حتي يموتون علي كراسي الحكم 
انظر الي الحمار الذي يحكم سوريا غصبا",35,1,1.39205097973282,35.85095753518317
16,....Never!!!,35,0,1.39205097973282,35.85095753518317
17,والمسعولون العرب من كثرة التواضع لا تطأ أقدامهم أبدا الأرض...من الطائرة الأمريكية مباشرة إلى السيارة الألمانية أو اليابانية...,40,1,8.166687589710904,36.465780171079246
18,استحالة يا سيدتي,5,0,7.8163857371900995,36.848423779617754
19,اسيدي استقيلو يا وزرائنا و ادهبو باللموزين اد اردتم ارحلو فقط,26,2,5.033635381329654,35.78377883183606
20,الشعب العربي دمروه الخونة وبعض الحكام والبعض من اعلام الفتنة والعار.والحديث قياس,42,0,10.240145291185229,22.51814563931046
21,Ha erjal,12,0,3.725262535295678,36.58206611371517
22,قمة التحضر,43,0,2.079849917319363,35.54177835662074
